sampleid	LibraryName	SampleName	Subject_ID
SRR13191397	S.170822.00225	S.170822.00225_100	CDM_556
SRR13191396	S.170822.00226	S.170822.00226_13	CDM_557
SRR13191395	S.170822.00227	S.170822.00227_440	CDM_558
SRR13191394	S.170822.00228	S.170822.00228_122	CDM_559
SRR13191393	S.170822.00229	S.170822.00229_287	CDM_377
SRR13191392	S.170822.00230	S.170822.00230_321	CDM_430
SRR13191531	DNAfreewater12	DNAfreewater12_622	Control
SRR13191444	DNAfreewater13	DNAfreewater13_665	Control
SRR13191536	Extractblankswab5	Extractblankswab5_617	Control
SRR13191530	Extractemptywell11	Extractemptywell11_636	Control
SRR13191519	Extractemptywell12	Extractemptywell12_620	Control
SRR13191486	Extractemptywell2	Extractemptywell2_516	Control
SRR13191475	Extractemptywell3	Extractemptywell3_614	Control
SRR13191464	Extractemptywell4	Extractemptywell4_571	Control
SRR13191455	Extractemptywell7	Extractemptywell7_645	Control
SRR13191443	Extractemptywell8	Extractemptywell8_627	Control
SRR13191511	S.170804.00672	S.170804.00672_88	CDM_14
SRR13191500	S.170804.00673	S.170804.00673_401	CDM_15
SRR13191489	S.170804.00675	S.170804.00675_478	CDM_16
SRR13191535	S.170808.00395	S.170808.00395_581	CDM_244
SRR13191534	S.170808.00397	S.170808.00397_39	CDM_245
SRR13191533	S.170808.00399	S.170808.00399_356	CDM_163
SRR13191532	S.170808.00401	S.170808.00401_266	CDM_8
SRR13191529	S.170808.00403	S.170808.00403_300	CDM_246
SRR13191528	S.170808.00404	S.170808.00404_224	CDM_247
SRR13191527	S.170808.00406	S.170808.00406_544	CDM_248
SRR13191526	S.170808.00408	S.170808.00408_178	CDM_249
SRR13191525	S.170808.00409	S.170808.00409_294	CDM_250
SRR13191524	S.170808.00411	S.170808.00411_220	CDM_251
SRR13191523	S.170808.00413	S.170808.00413_308	CDM_252
SRR13191522	S.170808.00414	S.170808.00414_189	CDM_253
SRR13191521	S.170808.00415	S.170808.00415_652	CDM_254
SRR13191520	S.170808.00416	S.170808.00416_379	CDM_255
SRR13191518	S.170808.00419	S.170808.00419_607	CDM_257
SRR13191517	S.170808.00421	S.170808.00421_656	CDM_258
SRR13191516	S.170808.00423	S.170808.00423_62	CDM_259
SRR13191515	S.170808.00425	S.170808.00425_563	CDM_260
SRR13191514	S.170808.00427	S.170808.00427_225	CDM_261
SRR13191513	S.170808.00428	S.170808.00428_306	CDM_262
SRR13191512	S.170808.00429	S.170808.00429_153	CDM_263
SRR13191487	S.170808.00469	S.170808.00469_43	CDM_287
SRR13191485	S.170808.00471	S.170808.00471_526	CDM_288
SRR13191484	S.170808.00473	S.170808.00473_17	CDM_289
SRR13191483	S.170808.00475	S.170808.00475_350	CDM_290
SRR13191482	S.170808.00477	S.170808.00477_105	CDM_291
SRR13191481	S.170808.00478	S.170808.00478_273	CDM_292
SRR13191480	S.170808.00479	S.170808.00479_18	CDM_293
SRR13191479	S.170808.00481	S.170808.00481_260	CDM_294
